Latitude	Longitude	Elevation (metres)	Distance (KMs)	Gradient
-27.218175	28.73015	1647	426.51	-1
-27.21742	28.72987	1646	426.598	-1
-27.21738	28.72986	1646	426.603	0
-27.21683	28.72965	1646	426.667	-1
-27.21642	28.72949	1645	426.716	-2
-27.2164	28.72948	1645	426.718	-2
-27.21599	28.72932	1644	426.766	-2
-27.21572	28.72921	1643	426.798	-2
-27.21547	28.72911	1643	426.828	0
-27.21507	28.72894	1643	426.876	-3
-27.21451	28.72871	1641	426.942	-2
-27.21403	28.7285	1640	426.999	-2
-27.2137	28.72836	1639	427.039	-2
-27.2136	28.72832	1639	427.05	-3
-27.21304	28.72807	1637	427.117	-6
-27.21259	28.72787	1634	427.171	-2
-27.21206	28.727625	1633	427.235	-2
-27.21153	28.72738	1632	427.299	-2
-27.21136	28.7273	1631	427.319	-4
-27.21093	28.7271	1629	427.371	-1
-27.210112	28.726723	1628	427.47	2
-27.209294	28.726347	1630	427.568	0
-27.208477	28.72597	1630	427.666	0
-27.207659	28.725593	1630	427.765	0
-27.206841	28.725217	1630	427.863	0
-27.206023	28.72484	1630	427.961	-1
-27.205206	28.724463	1629	428.06	2
-27.204388	28.724087	1631	428.158	2
-27.20357	28.72371	1633	428.257	-1
-27.202975	28.723435	1632	428.328	-3
-27.20238	28.72316	1630	428.4	-2
-27.20221	28.72308	1630	428.42	-2
-27.201425	28.722718	1628	428.515	-3
-27.20064	28.722355	1625	428.609	-3
-27.199855	28.721992	1622	428.704	-3
-27.19907	28.72163	1619	428.798	-4
-27.198319	28.721284	1615	428.889	-4
-27.197567	28.720937	1611	428.979	0
-27.196816	28.720591	1611	429.069	-2
-27.196065	28.720245	1609	429.16	-4
-27.195314	28.719899	1605	429.25	-3
-27.194563	28.719552	1602	429.34	-2
-27.193811	28.719206	1600	429.431	-1
-27.19306	28.71886	1599	429.521	-1
-27.19292	28.7188	1599	429.538	-1
-27.19288	28.71878	1599	429.543	-2
-27.1927	28.7187	1598	429.564	-1
-27.192115	28.71843	1597	429.635	-3
-27.19153	28.71816	1595	429.705	-2
-27.19137	28.71809	1595	429.724	-1
-27.190593	28.717733	1594	429.818	0
-27.189817	28.717377	1594	429.911	-2
-27.18904	28.71702	1592	430.004	0
-27.188455	28.71675	1592	430.075	3
-27.18787	28.71648	1594	430.145	3
-27.18737	28.71625	1596	430.205	3
-27.18701	28.71609	1597	430.248	2
-27.18693	28.71605	1597	430.258	1
-27.18683	28.71599	1597	430.271	2
-27.18672	28.71594	1597	430.284	3
-27.18621	28.71571	1599	430.345	2
-27.185543	28.715402	1601	430.425	2
-27.184875	28.715095	1603	430.506	2
-27.184207	28.714788	1605	430.586	1
-27.18354	28.71448	1606	430.666	2
-27.18306	28.71426	1607	430.724	2
-27.18305	28.71426	1607	430.725	0
-27.18263	28.714065	1607	430.776	0
-27.18221	28.71387	1607	430.826	-1
-27.181446	28.713516	1606	430.918	-3
-27.180682	28.713162	1603	431.01	-1
-27.179918	28.712808	1602	431.102	2
-27.179154	28.712454	1604	431.194	3
-27.17839	28.7121	1607	431.286	0
-27.17789	28.71187	1607	431.346	-1
-27.17712	28.71152	1606	431.439	0
-27.176543	28.711253	1606	431.508	-1
-27.175967	28.710987	1605	431.578	0
-27.17539	28.71072	1605	431.647	-1
-27.174725	28.710415	1604	431.727	-1
-27.17406	28.71011	1603	431.807	-1
-27.17374	28.70996	1603	431.846	-4
-27.17307	28.709645	1600	431.926	-2
-27.1724	28.70933	1598	432.007	-3
-27.1718	28.70905	1596	432.08	-1
-27.1712	28.70877	1595	432.152	-1
-27.1706	28.70849	1594	432.224	0
-27.17016	28.70827	1594	432.278	0
-27.17003	28.70821	1594	432.294	0
-27.17002	28.70821	1594	432.295	0
-27.16989	28.70814	1594	432.311	0
-27.169225	28.70782	1594	432.391	2
-27.16856	28.7075	1596	432.472	0
-27.168055	28.70724	1596	432.534	-3
-27.16755	28.70698	1594	432.595	-1
-27.16687	28.70664	1593	432.678	-1
-27.166253	28.706313	1592	432.754	-1
-27.165637	28.705987	1591	432.83	-3
-27.16502	28.70566	1589	432.906	-2
-27.164515	28.705385	1588	432.968	-2
-27.16401	28.70511	1587	433.031	0
-27.16341	28.70478	1587	433.105	1
-27.16283	28.70445	1588	433.178	2
-27.16234	28.70418	1589	433.238	1
-27.16195	28.70395	1589	433.287	0
-27.16147	28.70367	1589	433.348	2
-27.161	28.7034	1590	433.406	0
-27.16059	28.70316	1590	433.458	-2
-27.16048	28.7031	1589	433.471	-4
-27.16018	28.70292	1588	433.509	-3
-27.15992	28.70275	1587	433.543	-2
-27.15966	28.7026	1587	433.575	0
-27.15942	28.70246	1587	433.605	0
-27.15906	28.70224	1587	433.651	-2
-27.15866	28.70199	1586	433.702	0
-27.15826	28.70174	1586	433.753	-2
-27.15779	28.70145	1585	433.813	-3
-27.15718	28.701065	1583	433.89	-4
-27.15657	28.70068	1580	433.968	-3
-27.156005	28.700315	1578	434.041	-1
-27.15544	28.69995	1577	434.113	0
-27.15482	28.69955	1577	434.193	-3
-27.1542	28.69915	1575	434.273	-1
-27.15368	28.698813	1574	434.339	0
-27.15316	28.698477	1574	434.406	-4
-27.15264	28.69814	1571	434.473	-2
-27.15217	28.69784	1570	434.533	2
-27.1517	28.69754	1571	434.593	0
-27.15139	28.69734	1570	434.633	-4
-27.150767	28.696937	1567	434.713	0
-27.150143	28.696533	1567	434.793	-1
-27.14952	28.69613	1566	434.873	-2
-27.148855	28.695703	1564	434.959	-1
-27.14819	28.695275	1563	435.044	-1
-27.147525	28.694848	1562	435.129	-1
-27.14686	28.69442	1561	435.214	-2
-27.14671	28.69432	1560	435.234	0
-27.145983	28.693853	1560	435.327	2
-27.145255	28.693385	1562	435.42	0
-27.144528	28.692918	1562	435.514	-1
-27.1438	28.69245	1561	435.607	-1
-27.143073	28.691982	1560	435.7	1
-27.142345	28.691515	1561	435.794	-5
-27.141618	28.691047	1556	435.887	-1
-27.14089	28.69058	1555	435.98	1
-27.14029	28.690183	1556	436.058	-1
-27.13969	28.689787	1555	436.135	0
-27.13909	28.68939	1555	436.213	-1
-27.13853	28.68904	1554	436.284	-3
-27.13797	28.68869	1552	436.355	-2
-27.13783	28.6886	1552	436.373	-2
-27.13782	28.68859	1552	436.375	1
-27.13768	28.68851	1552	436.392	1
-27.136915	28.688018	1553	436.49	0
-27.13615	28.687525	1553	436.589	-2
-27.135385	28.687032	1551	436.687	0
-27.13462	28.68654	1551	436.785	0
-27.133855	28.686047	1551	436.883	0
-27.13309	28.685555	1551	436.981	0
-27.132325	28.685062	1551	437.079	1
-27.13156	28.68457	1552	437.177	0
-27.13125	28.68437	1551	437.217	-1
-27.130475	28.68387	1550	437.317	-1
-27.1297	28.68337	1549	437.416	0
-27.12925	28.68308	1549	437.474	-2
-27.12881	28.682795	1548	437.531	-2
-27.12837	28.68251	1547	437.587	1
-27.127686	28.68207	1548	437.675	-1
-27.127002	28.68163	1547	437.763	-1
-27.126318	28.68119	1546	437.85	-1
-27.125634	28.68075	1545	437.938	0
-27.12495	28.68031	1545	438.026	0
-27.12485	28.68025	1545	438.038	-2
-27.12438	28.67994	1544	438.099	0
-27.1236	28.67944	1544	438.199	-1
-27.122963	28.67903	1543	438.281	0
-27.122327	28.67862	1543	438.362	0
-27.12169	28.67821	1543	438.444	0
-27.12093	28.67772	1543	438.542	0
-27.12017	28.67723	1543	438.639	-1
-27.11955	28.67683	1542	438.719	-1
-27.11939	28.67673	1542	438.739	0
-27.118734	28.676308	1542	438.823	0
-27.118078	28.675886	1542	438.907	-2
-27.117422	28.675464	1540	438.992	0
-27.116766	28.675042	1540	439.076	1
-27.11611	28.67462	1541	439.16	1
-27.11591	28.67449	1541	439.186	1
-27.11586	28.67446	1541	439.192	1
-27.11572	28.67437	1542	439.21	0
-27.114952	28.673874	1542	439.308	0
-27.114184	28.673378	1542	439.407	0
-27.113416	28.672882	1542	439.506	0
-27.112648	28.672386	1542	439.604	0
-27.11188	28.67189	1542	439.703	0
-27.1111	28.67139	1542	439.803	-1
-27.11032	28.67089	1541	439.903	-1
-27.109693	28.67049	1540	439.983	-2
-27.109067	28.67009	1538	440.063	0
-27.10844	28.66969	1538	440.144	0
-27.107763	28.669255	1538	440.23	1
-27.107087	28.66882	1539	440.317	0
-27.10641	28.668385	1539	440.404	-1
-27.105733	28.66795	1538	440.491	-1
-27.105057	28.667515	1537	440.577	-1
-27.10438	28.66708	1536	440.664	2
-27.103718	28.666653	1538	440.749	1
-27.103055	28.666225	1539	440.834	1
-27.102393	28.665798	1540	440.919	2
-27.10173	28.66537	1542	441.004	1
-27.101135	28.664988	1543	441.081	0
-27.10054	28.664605	1543	441.157	0
-27.099945	28.664223	1543	441.233	0
-27.09935	28.66384	1543	441.31	-3
-27.098825	28.663495	1541	441.377	3
-27.0983	28.66315	1543	441.445	2
-27.09818	28.66307	1543	441.461	3
-27.09816	28.66305	1543	441.464	3
-27.09806	28.66299	1544	441.476	2
-27.097413	28.662577	1546	441.559	2
-27.096767	28.662163	1548	441.642	1
-27.09612	28.66175	1549	441.725	3
-27.095438	28.661312	1552	441.812	2
-27.094757	28.660873	1554	441.9	2
-27.094075	28.660435	1556	441.987	6
-27.093393	28.659997	1561	442.075	1
-27.092712	28.659558	1562	442.162	2
-27.09203	28.65912	1564	442.249	2
-27.09171	28.65892	1565	442.29	2
-27.091085	28.65852	1567	442.37	0
-27.09046	28.65812	1567	442.45	-1
-27.089933	28.65778	1566	442.518	0
-27.089407	28.65744	1566	442.586	-1
-27.08888	28.6571	1565	442.653	-1
-27.08875	28.65701	1565	442.67	-1
-27.08797	28.65651	1564	442.77	0
-27.087284	28.656066	1564	442.858	-1
-27.086598	28.655622	1563	442.946	0
-27.085912	28.655178	1563	443.035	-2
-27.085226	28.654734	1561	443.123	-1
-27.08454	28.65429	1560	443.211	-2
-27.08422	28.65409	1559	443.252	0
-27.08363	28.65371	1559	443.327	0
-27.0836	28.65369	1559	443.331	-1
-27.08344	28.65359	1559	443.352	-1
-27.082754	28.653148	1558	443.44	-2
-27.082068	28.652706	1556	443.528	-2
-27.081382	28.652264	1554	443.616	-1
-27.080696	28.651822	1553	443.704	-2
-27.08001	28.65138	1551	443.792	1
-27.07939	28.65098	1552	443.871	1
-27.07923	28.65088	1552	443.892	0
-27.078475	28.650395	1552	443.989	1
-27.07772	28.64991	1553	444.085	0
-27.076965	28.649425	1553	444.182	0
-27.07621	28.64894	1553	444.279	0
-27.075455	28.648455	1553	444.376	1
-27.0747	28.64797	1554	444.473	-3
-27.07408	28.647565	1552	444.553	1
-27.07346	28.64716	1553	444.632	0
-27.073065	28.64691	1553	444.683	0
-27.07267	28.64666	1553	444.733	-1
-27.071957	28.646201	1552	444.825	1
-27.071244	28.645743	1553	444.916	-1
-27.070531	28.645284	1552	445.008	-1
-27.069819	28.644826	1551	445.099	-1
-27.069106	28.644367	1550	445.191	0
-27.068393	28.643909	1550	445.282	1
-27.06768	28.64345	1551	445.373	0
-27.06752	28.64335	1550	445.394	0
-27.06674	28.64285	1550	445.494	0
-27.06596	28.64235	1550	445.594	-2
-27.06547	28.64203	1549	445.657	1
-27.064768	28.641578	1550	445.747	-1
-27.064065	28.641125	1549	445.837	-1
-27.063362	28.640672	1548	445.927	0
-27.06266	28.64022	1548	446.018	0
-27.061958	28.639768	1548	446.108	0
-27.061255	28.639315	1548	446.198	0
-27.060552	28.638862	1548	446.288	0
-27.05985	28.63841	1548	446.378	0
-27.059151	28.637961	1548	446.468	1
-27.058452	28.637512	1549	446.557	0
-27.057754	28.637064	1549	446.647	-1
-27.057055	28.636615	1548	446.737	0
-27.056356	28.636166	1548	446.826	0
-27.055658	28.635718	1548	446.916	0
-27.054959	28.635269	1548	447.005	1
-27.05426	28.63482	1549	447.095	0
-27.05379	28.63451	1549	447.156	-1
-27.05364	28.63441	1548	447.175	0
-27.052887	28.633927	1548	447.272	-2
-27.052133	28.633443	1546	447.368	-2
-27.05138	28.63296	1544	447.465	0
-27.05079	28.632585	1544	447.54	0
-27.0502	28.63221	1544	447.616	-1
-27.049575	28.631808	1543	447.696	-1
-27.04895	28.631405	1542	447.776	-1
-27.048325	28.631003	1541	447.856	-1
-27.0477	28.6306	1540	447.937	-1
-27.04755	28.6305	1540	447.956	0
-27.04724	28.6303	1540	447.996	1
-27.046652	28.629923	1541	448.071	-1
-27.046065	28.629545	1540	448.147	-1
-27.045478	28.629167	1539	448.222	-1
-27.04489	28.62879	1538	448.297	-1
-27.04426	28.628403	1537	448.377	-1
-27.04363	28.628017	1536	448.457	-1
-27.043	28.62763	1535	448.537	0
-27.04229	28.627215	1535	448.626	0
-27.04158	28.6268	1535	448.715	0
-27.04115	28.6265	1535	448.772	-1
-27.0406	28.626135	1534	448.843	-3
-27.04005	28.62577	1532	448.914	-1
-27.03949	28.62537	1531	448.988	-2
-27.03876	28.62483	1529	449.085	-1
-27.03817	28.624425	1528	449.162	0
-27.03758	28.62402	1528	449.239	-2
-27.036887	28.62349	1526	449.332	-1
-27.036193	28.62296	1525	449.426	-2
-27.0355	28.62243	1523	449.519	-2
-27.03543	28.62238	1523	449.528	-1
-27.03492	28.62196	1522	449.599	-3
-27.03449	28.62158	1520	449.66	-3
