Latitude,Longitude,Elevation (metres),Distance (KMs),Gradient
-27.24352,27.49523,1374,929.231,0
-27.242777,27.49531,1374,929.314,1
-27.242033,27.49539,1375,929.397,0
-27.24129,27.49547,1375,929.48,0
-27.24127,27.49547,1375,929.483,-2
-27.2404,27.49556,1373,929.58,-1
-27.23967,27.49563,1372,929.661,0
-27.238837,27.495717,1372,929.755,0
-27.238003,27.495803,1372,929.848,0
-27.23717,27.49589,1372,929.941,0
-27.23628,27.495995,1372,930.04,1
-27.23539,27.4961,1373,930.14,0
-27.234835,27.496155,1373,930.202,2
-27.23428,27.49621,1374,930.264,1
-27.23342,27.4963,1375,930.36,-2
-27.23291,27.496355,1374,930.417,-2
-27.2324,27.49641,1373,930.474,-1
-27.23176,27.49648,1372,930.546,1
-27.23112,27.49655,1373,930.618,1
-27.230475,27.49662,1374,930.69,0
-27.22983,27.49669,1374,930.762,0
-27.229227,27.49676,1374,930.829,-1
-27.228623,27.49683,1373,930.897,-1
-27.22802,27.4969,1372,930.964,0
-27.22732,27.49697,1372,931.043,1
-27.22662,27.49704,1373,931.121,-3
-27.22592,27.49711,1371,931.199,2
-27.22543,27.49716,1372,931.254,1
-27.22469,27.49725,1373,931.337,0
-27.22395,27.49734,1373,931.42,0
-27.223157,27.49742,1373,931.508,-1
-27.222363,27.4975,1372,931.597,0
-27.22157,27.49758,1372,931.686,-1
-27.220792,27.497662,1371,931.772,0
-27.220015,27.497745,1371,931.859,0
-27.219238,27.497827,1371,931.946,0
-27.21846,27.49791,1371,932.033,0
-27.217573,27.498013,1371,932.132,1
-27.216687,27.498117,1372,932.232,0
-27.2158,27.49822,1372,932.331,2
-27.21524,27.49828,1373,932.394,0
-27.21479,27.498325,1373,932.444,0
-27.21434,27.49837,1373,932.494,1
-27.213568,27.498454,1374,932.581,1
-27.212796,27.498538,1375,932.667,1
-27.212024,27.498622,1376,932.753,2
-27.211252,27.498706,1378,932.84,3
-27.21048,27.49879,1381,932.926,1
-27.209788,27.49887,1382,933.003,1
-27.209095,27.49895,1383,933.081,3
-27.208402,27.49903,1385,933.158,1
-27.20771,27.49911,1386,933.236,2
-27.206877,27.499197,1388,933.329,2
-27.206043,27.499283,1390,933.422,-3
-27.20521,27.49937,1387,933.515,-2
-27.205,27.4994,1388,933.539,2
-27.20486,27.49941,1388,933.555,2
-27.20445,27.49944,1389,933.6,3
-27.2036,27.49954,1392,933.695,2
-27.20271,27.49965,1394,933.795,2
-27.20228,27.49971,1395,933.843,3
-27.201645,27.499835,1397,933.915,1
-27.20101,27.49996,1398,933.987,1
-27.20022,27.50015,1399,934.077,1
-27.19998,27.50021,1399,934.104,1
-27.19925,27.50037,1400,934.187,2
-27.1985,27.50058,1402,934.273,2
-27.19797,27.500745,1403,934.334,0
-27.19744,27.50091,1403,934.395,1
-27.19679,27.5011,1404,934.47,0
-27.19614,27.50129,1404,934.545,0
-27.19569,27.50144,1404,934.597,2
-27.19524,27.50159,1405,934.649,-1
-27.19444,27.501865,1404,934.743,-1
-27.19364,27.50214,1403,934.836,1
-27.19306,27.50235,1404,934.903,2
-27.19283,27.50243,1405,934.93,4
-27.19261,27.50251,1406,934.956,0
-27.19212,27.502675,1406,935.013,-2
-27.19163,27.50284,1405,935.07,-1
-27.19146,27.5029,1405,935.09,-3
-27.190883,27.503097,1403,935.157,-1
-27.190307,27.503293,1402,935.224,0
-27.18973,27.50349,1402,935.291,2
-27.18894,27.50376,1404,935.383,-1
-27.18836,27.50396,1403,935.45,-2
-27.18819,27.50402,1402,935.47,1
-27.18811,27.50405,1402,935.48,3
-27.187545,27.504245,1404,935.545,-2
-27.18698,27.50444,1403,935.611,0
-27.18638,27.50465,1403,935.681,0
-27.18578,27.50486,1403,935.751,-3
-27.18511,27.505095,1401,935.829,0
-27.18444,27.50533,1401,935.907,0
-27.18414,27.50543,1401,935.942,0
-27.18387,27.50553,1401,935.974,-1
-27.18381,27.50554,1401,935.981,-2
-27.18327,27.505745,1400,936.044,0
-27.18273,27.50595,1400,936.108,0
-27.182165,27.506165,1400,936.174,0
-27.1816,27.50638,1400,936.24,0
-27.180781,27.506663,1400,936.336,-1
-27.179963,27.506946,1399,936.431,1
-27.179144,27.507229,1400,936.526,1
-27.178326,27.507511,1401,936.622,-1
-27.177507,27.507794,1400,936.717,-1
-27.176689,27.508077,1399,936.812,1
-27.17587,27.50836,1400,936.908,0
-27.17533,27.50854,1400,936.97,2
-27.17479,27.50872,1401,937.033,0
-27.174015,27.508987,1401,937.123,-3
-27.17324,27.509255,1398,937.214,0
-27.172465,27.509523,1398,937.304,2
-27.17169,27.50979,1400,937.394,-1
-27.170899,27.510059,1399,937.486,1
-27.170107,27.510328,1400,937.578,3
-27.169316,27.510596,1403,937.67,0
-27.168525,27.510865,1403,937.762,0
-27.167734,27.511134,1403,937.854,0
-27.166943,27.511403,1403,937.946,1
-27.166151,27.511671,1404,938.038,-2
-27.16536,27.51194,1402,938.13,-2
-27.16512,27.51203,1402,938.158,-2
-27.16489,27.51211,1401,938.185,0
-27.16458,27.51222,1402,938.221,3
-27.164055,27.5124,1404,938.282,2
-27.16353,27.51258,1405,938.344,0
-27.16295,27.51277,1405,938.411,0
-27.16237,27.51296,1405,938.478,0
-27.16185,27.51314,1405,938.539,1
-27.161157,27.513383,1406,938.619,0
-27.160463,27.513627,1406,938.7,0
-27.15977,27.51387,1406,938.781,1
-27.159193,27.514077,1407,938.849,1
-27.158617,27.514283,1408,938.916,0
-27.15804,27.51449,1408,938.983,0
-27.15791,27.51454,1408,938.999,0
-27.157345,27.51473,1408,939.064,3
-27.15678,27.51492,1410,939.13,1
-27.156015,27.515185,1411,939.219,1
-27.15525,27.51545,1412,939.308,0
-27.15469,27.51564,1412,939.373,0
-27.15413,27.51583,1412,939.438,3
-27.15356,27.51603,1414,939.505,0
-27.15283,27.51628,1414,939.59,1
-27.15215,27.51651,1415,939.669,3
-27.151625,27.516695,1417,939.73,2
-27.1511,27.51688,1418,939.791,0
-27.15059,27.51705,1418,939.851,-2
-27.15008,27.51722,1417,939.91,2
-27.14936,27.51747,1419,939.994,2
-27.14864,27.51772,1421,940.078,1
-27.147853,27.517992,1422,940.169,1
-27.147065,27.518265,1423,940.261,2
-27.146278,27.518537,1425,940.353,1
-27.14549,27.51881,1426,940.444,1
-27.14535,27.51886,1426,940.461,0
-27.144895,27.51901,1426,940.514,0
-27.14444,27.51916,1426,940.566,0
-27.14398,27.519315,1426,940.62,-2
-27.14352,27.51947,1425,940.673,0
-27.14306,27.51963,1425,940.727,0
-27.1426,27.51979,1425,940.781,-3
-27.14194,27.520015,1423,940.857,-1
-27.14128,27.52024,1422,940.934,-1
-27.140525,27.5205,1421,941.022,-2
-27.13977,27.52076,1419,941.11,1
-27.139015,27.52102,1420,941.198,-1
-27.13826,27.52128,1419,941.286,0
-27.137505,27.52154,1419,941.374,0
-27.13675,27.5218,1419,941.461,0
-27.13646,27.5219,1419,941.495,0
-27.13563,27.522182,1419,941.592,0
-27.1348,27.522465,1419,941.688,2
-27.13397,27.522748,1421,941.785,0
-27.13314,27.52303,1421,941.881,-3
-27.1325,27.523245,1419,941.956,0
-27.13186,27.52346,1419,942.03,0
-27.131023,27.52375,1419,942.128,-1
-27.130187,27.52404,1418,942.225,0
-27.12935,27.52433,1418,942.323,-1
-27.128663,27.524567,1417,942.403,1
-27.127975,27.524805,1418,942.483,0
-27.127287,27.525043,1418,942.563,-1
-27.1266,27.52528,1417,942.643,0
-27.125836,27.525544,1417,942.732,2
-27.125072,27.525808,1419,942.821,0
-27.124308,27.526072,1419,942.91,1
-27.123544,27.526336,1420,942.999,0
-27.12278,27.5266,1420,943.088,0
-27.12265,27.52664,1420,943.103,1
-27.121847,27.526917,1421,943.196,3
-27.121044,27.527194,1424,943.29,1
-27.120241,27.527471,1425,943.383,0
-27.119439,27.527749,1425,943.477,0
-27.118636,27.528026,1425,943.57,2
-27.117833,27.528303,1427,943.664,0
-27.11703,27.52858,1427,943.757,1
-27.116227,27.528855,1428,943.851,0
-27.115425,27.529131,1428,943.944,0
-27.114622,27.529406,1428,944.038,1
-27.113819,27.529682,1429,944.131,0
-27.113016,27.529957,1429,944.224,1
-27.112214,27.530233,1430,944.318,0
-27.111411,27.530508,1430,944.411,2
-27.110608,27.530784,1432,944.505,2
-27.109805,27.531059,1434,944.598,0
-27.109003,27.531335,1434,944.692,0
-27.1082,27.53161,1434,944.785,0
-27.10802,27.53167,1434,944.806,0
-27.10801,27.53167,1434,944.807,0
-27.10801,27.53168,1434,944.808,0
-27.10725,27.531944,1434,944.897,-1
-27.10649,27.532208,1433,944.985,0
-27.10573,27.532472,1433,945.074,-1
-27.10497,27.532736,1432,945.162,-5
-27.10421,27.533,1428,945.251,-4
-27.10407,27.53305,1428,945.267,0
-27.103257,27.53333,1428,945.362,-4
-27.102443,27.53361,1424,945.457,0
-27.10163,27.53389,1424,945.551,0
-27.10146,27.53395,1424,945.571,0
-27.10068,27.53422,1424,945.662,-3
-27.0999,27.53449,1421,945.753,0
-27.09912,27.53476,1421,945.844,0
-27.09888,27.53484,1421,945.871,2
-27.098089,27.535112,1423,945.964,1
-27.097298,27.535384,1424,946.056,1
-27.096507,27.535656,1425,946.148,0
-27.095716,27.535928,1425,946.24,0
-27.094925,27.5362,1425,946.332,1
-27.094134,27.536472,1426,946.424,4
-27.093343,27.536744,1430,946.516,-1
-27.092552,27.537016,1429,946.608,-1
-27.091761,27.537288,1428,946.7,2
-27.09097,27.53756,1430,946.792,0
-27.090325,27.53778,1430,946.867,1
-27.08968,27.538,1431,946.942,0
-27.089035,27.53822,1431,947.017,0
-27.08839,27.53844,1431,947.093,1
-27.087587,27.538717,1432,947.186,-1
-27.086783,27.538993,1431,947.28,0
-27.08598,27.53927,1431,947.373,1
-27.085177,27.539547,1432,947.467,-1
-27.084373,27.539823,1431,947.56,-2
-27.08357,27.5401,1429,947.654,-4
-27.082748,27.540382,1425,947.749,-3
-27.081927,27.540663,1422,947.845,1
-27.081105,27.540945,1423,947.941,-2
-27.080283,27.541227,1421,948.036,-1
-27.079462,27.541508,1420,948.132,1
-27.07864,27.54179,1421,948.228,0
-27.078115,27.54198,1421,948.289,-2
-27.07759,27.54217,1420,948.35,0
-27.07711,27.542325,1420,948.406,0
-27.07663,27.54248,1420,948.462,4
-27.07614,27.54265,1422,948.519,2
-27.07592,27.54273,1422,948.544,1
-27.07529,27.542965,1423,948.618,1
-27.07466,27.5432,1424,948.692,4
-27.074023,27.543423,1427,948.766,4
-27.073387,27.543647,1430,948.841,1
-27.07275,27.54387,1431,948.915,1
-27.07245,27.54398,1431,948.95,0
-27.07196,27.54413,1431,949.007,0
-27.07194,27.54414,1431,949.009,1
-27.071132,27.544405,1432,949.103,2
-27.070325,27.54467,1434,949.196,-1
-27.069518,27.544935,1433,949.29,1
-27.06871,27.5452,1434,949.384,1
-27.06864,27.54523,1434,949.392,2
-27.06856,27.54526,1434,949.401,1
-27.06828,27.54537,1435,949.434,2
-27.06803,27.54547,1435,949.464,1
-27.067405,27.545695,1436,949.537,1
-27.06678,27.54592,1437,949.61,1
-27.06673,27.54594,1437,949.616,0
-27.06608,27.54615,1437,949.691,1
-27.065463,27.546367,1438,949.763,1
-27.064847,27.546583,1439,949.835,0
-27.06423,27.5468,1439,949.907,0
-27.06357,27.547023,1439,949.984,3
-27.06291,27.547247,1441,950.06,3
-27.06225,27.54747,1443,950.137,0
-27.061567,27.547707,1443,950.217,1
-27.060883,27.547943,1444,950.296,1
-27.0602,27.54818,1445,950.376,1
-27.05945,27.54843,1446,950.463,1
-27.0587,27.54868,1447,950.55,1
-27.057885,27.548956,1448,950.645,1
-27.05707,27.549233,1449,950.74,2
-27.056255,27.549509,1451,950.835,1
-27.05544,27.549785,1452,950.929,1
-27.054625,27.550061,1453,951.024,0
-27.05381,27.550338,1453,951.119,1
-27.052995,27.550614,1454,951.214,2
-27.05218,27.55089,1456,951.308,2
-27.051665,27.551065,1457,951.368,0
-27.05115,27.55124,1457,951.428,3
-27.05037,27.55151,1460,951.519,0
